"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","responses","experimental_goal_height","experimental_start_height","experimental_weeks_total","experimental_crop_type","experimental_crop_side","fixed_goal_height","fixed_start_height","fixed_weeks_total","fixed_crop_type","trial_kind","trial_number","stage","left_current_height","left_weeks_remaining","left_crop_type","right_current_height","right_weeks_remaining","right_crop_type","mean_left_growth_given_left","sd_left_growth_given_left","mean_left_growth_given_middle","sd_left_growth_given_middle","mean_left_growth_given_right","sd_left_growth_given_right","mean_right_growth_given_left","sd_right_growth_given_left","mean_right_growth_given_middle","sd_right_growth_given_middle","mean_right_growth_given_right","sd_right_growth_given_right","response","response_time","left_growth","right_growth","other_key_pressed","mouse_clicked"
"4490732","77","text","0","0","4490873","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5665","","survey-text","0","1","4497559","0-0","{""Q0"":""19""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3142","86","text","0","2","3298","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","3","60095","0-0","","200","120","8","WHEAT CROP","Left","200","120","8","NETTLE WEED","practice","1","1,2,3,4,5,6,7,8","120,154.65446719590747,151.35024416589613,128.37878568780224,107.9192965656136,119.64470394011978,130.5733136070137,147.69851860114133","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","120,118.83999157351393,118.77072171666472,153.36614679325686,182.63047280483806,172.4991450354195,187.02289654138062,212.071478371689","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,0,0,1,1,1,1,1","5890,3487,1810,2505,2475,5223,1702,2436","34.654467195907465,-3.304223030011343,-22.9714584780939,-20.45948912218863,11.725407374506172,10.928609666893918,17.12520499412764,0.4610173731898162","-1.1600084264860726,-0.06926985684919629,34.59542507659214,29.264326011581193,-10.131327769418558,14.523751505961119,25.048581830308407,-30.062955648579752","0","0"
"1266","86","text","0","4","61551","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","5","87552","0-0","","200","160","4","CORN CROP","Left","200","160","4","THISTLE WEED","practice","2","1,2,3,4","160,163.0402641317564,171.23295226857374,192.15990962333336","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","160,161.50344745131065,168.72304759783196,183.08316918433985","4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,0,0,0","4988,1433,942,1108","3.0402641317564125,8.192688136817338,20.92695735475962,31.667686052909335","1.5034474513106522,7.219600146521305,14.360121586507873,46.03762881139957","0","0"
"786","86","text","0","6","88518","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","7","107676","0-0","","200","180","2","WHEAT CROP","Left","200","180","2","THISTLE WEED","practice","3","1,2","180,225.8083611835391","2,1","WHEAT CROP,WHEAT CROP","180,179.28566702698538","2,1","THISTLE WEED,THISTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","0,1","6012,1660","45.808361183539105,-0.3032588136998706","-0.7143329730146348,26.461383389744086","0","0"
"631","86","text","0","8","108497","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","9","129222","0-0","","200","190","1","CORN CROP","Left","200","190","1","THISTLE WEED","practice","4","1","190","1","CORN CROP","190","1","THISTLE WEED","20","20","10","20","0","20","20","20","10","20","0","20","1","6099","8.15084455868465","-4.792433224763026","0","0"
"701","86","text","0","10","130064","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","11","157118","0-0","","200","120","8","CORN CROP","Right","200","160","8","THISTLE WEED","practice","5","1,2,3,4,5,6,7,8","160,168.99041664328783,153.9183052225341,194.79232386622851,210.05358710348335,249.82648872572526,265.87999105807955,285.35158464864696","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","120,113.53146125240762,131.36555239062568,137.9054506919934,114.8526086275246,100.27413790353557,112.08423727403269,109.02154605931659","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,1,0,0,0,0,0","7400,659,1326,593,583,806,1423,1116","8.99041664328784,-15.072111420753755,40.87401864369442,15.261263237254827,39.7729016222419,16.0535023323543,19.471593590567416,5.422541688886435","-6.46853874759238,17.83409113821807,6.5398983013677,-23.052842064468795,-14.578470723989025,11.81009937049711,-3.0626912147160996,-8.531235562428256","0","0"
"454","86","text","0","12","157772","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","13","178892","0-0","","200","180","4","CORN CROP","Right","200","160","4","NETTLE WEED","practice","6","1,2,3,4","160,177.67878613306488,194.7961780693568,181.94572596935882","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","180,169.71994338548743,207.40621488685989,138.9464293024459","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","1,1,0,1","9047,719,826,725","17.67878613306489,17.117391936291934,-12.850452099997984,34.507188466529165","-10.280056614512585,37.68627150137246,-68.45978558441399,-16.54366512541357","0","0"
"647","86","text","0","14","179719","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","15","195601","0-0","","200","180","2","WHEAT CROP","Right","200","190","2","NETTLE WEED","practice","7","1,2","190,171.09294952517251","2,1","NETTLE WEED,NETTLE WEED","180,201.68326607182166","2,1","WHEAT CROP,WHEAT CROP","0,0","20,20","10,10","20,20","20,20","20,20","0,0","20,20","10,10","20,20","20,20","20,20","0,1","2493,3827","-18.90705047482748,-15.236792812837024","21.683266071821667,-8.229447415342129","0","0"
"501","86","text","0","16","196282","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
