"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","responses","experimental_goal_height","experimental_start_height","experimental_weeks_total","experimental_crop_type","experimental_crop_side","fixed_goal_height","fixed_start_height","fixed_weeks_total","fixed_crop_type","trial_kind","trial_number","stage","left_current_height","left_weeks_remaining","left_crop_type","right_current_height","right_weeks_remaining","right_crop_type","mean_left_growth_given_left","sd_left_growth_given_left","mean_left_growth_given_middle","sd_left_growth_given_middle","mean_left_growth_given_right","sd_left_growth_given_right","mean_right_growth_given_left","sd_right_growth_given_left","mean_right_growth_given_middle","sd_right_growth_given_middle","mean_right_growth_given_right","sd_right_growth_given_right","response","response_time","left_growth","right_growth","other_key_pressed","mouse_clicked"
"","","plant-game","0","17","238985","0-0","","200","120","4","WHEAT CROP","Left","200","120","8","NETTLE WEED","practice","8","1,2,3,4,5,6,7,8","120,144.90299140257252,192.70440566750213,223.0250839585212,160,120.78621712081748,113.30792591395296,90.2200680463663","4,3,2,1,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","120,168.0738090687874,188.57765990538044,217.3228827150799,200.27950593161717,204.4651481172142,219.32932874893078,242.1437938116255","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,0,0,1,1,1,1,1","11833,2466,563,1386,4109,871,485,652","24.90299140257251,47.8014142649296,30.32067829101909,22.267583718027634,-39.21378287918252,-7.4782912068645295,-23.08785786758666,-21.176836493603073","48.073809068787384,20.503850836593045,28.74522280969948,-17.043376783462758,4.185642185597021,14.864180631716582,22.81446506269472,1.4652038286891564","0","0"
"520","86","text","0","18","239724","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","19","260445","0-0","","200","160","4","CORN CROP","Left","200","160","2","NETTLE WEED","practice","9","1,2,3,4","160,152.27303917470863,158.66947515484125,156.8557291477084","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","160,164.60852166454325,180,194.2280448580228","2,1,2,1","NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,1,0,0","5442,571,1533,590","-7.726960825291381,6.396435980132621,-1.8137460071328633,35.46232222084322","4.608521664543251,9.114386693411417,14.228044858022795,26.244010313509857","0","0"
"508","86","text","0","20","261140","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","21","277667","0-0","","200","180","2","CORN CROP","Left","200","180","1","THISTLE WEED","practice","10","1,2","180,191.277289795906","2,1","CORN CROP,CORN CROP","180,190","1,1","THISTLE WEED,NETTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","1,0","3192,426","11.277289795905999,59.43901752339804","-25.464006269521473,46.173910571166616","0","0"
"559","86","text","0","22","278396","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","23","312559","0-0","","200","120","8","WHEAT CROP","Right","200","160","4","NETTLE WEED","practice","11","1,2,3,4,5,6,7,8","160,146.652853330141,169.13111600903528,202.82170696253633,160,170.18666044889855,158.39453345061676,159.3778464760528","4,3,2,1,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","120,126.51917966641662,129.8875819399722,136.75480066509945,107.61608996291457,94.06841376655684,92.53483794303345,143.94987653640126","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,1,1,0,0,0,1,1","7166,437,717,608,2154,1603,880,685","-13.347146669859015,22.478262678894286,33.69059095350103,-13.404810002262938,10.186660448898543,-11.792126998281782,0.9833130254360327,41.250723893244455","6.519179666416626,3.3684022735555814,6.867218725127257,-29.13871070218488,-13.54767619635773,-1.5335758235233916,51.41503859336781,39.948635431215294","0","0"
"569","86","text","0","24","313268","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","25","347488","0-0","","200","180","2","WHEAT CROP","Right","200","160","4","THISTLE WEED","practice","12","1,2,3,4","160,212.00058547620165,251.2105027324002,265.6867129148004","4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","180,233.44139495936224,180,181.4001707760233","2,1,2,1","WHEAT CROP,WHEAT CROP,CORN CROP,CORN CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","1,1,0,0","8214,2282,506,731","52.000585476201636,39.20991725619854,14.476210182400198,-11.951231774679297","53.44139495936224,29.179118065784465,1.4001707760232927,-10.249212467486167","0","0"
"580","86","text","0","26","348228","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15696","86","text","0","27","365100","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","28","380066","0-0","","200","120","4","CORN CROP","Left","200","180","4","THISTLE WEED","experimental","1","1,2,3,4","120,167.60361831193964,168.9627975527239,192.15257435360613","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","180,168.92296739394678,158.27779730147208,199.86617356972897","4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,1,0,1","5907,1478,885,675","47.60361831193964,1.359179240784261,23.189776800882214,6.3224968227767615","-11.077032606053233,-10.645170092474707,41.58837626825688,31.44729907119705","0","0"
"542","86","text","0","29","380728","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","30","395380","0-0","","200","180","2","CORN CROP","Right","200","120","1","THISTLE WEED","experimental","2","1,2","120,190","1,1","THISTLE WEED,NETTLE WEED","180,192.767640889557","2,1","CORN CROP,CORN CROP","0,0","20,20","10,10","20,20","20,20","20,20","0,0","20,20","10,10","20,20","20,20","20,20","1,1","5454,2558","22.64113705468752,38.696755418197455","12.767640889556983,13.724721025322838","0","0"
"509","86","text","0","31","396049","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","32","414695","0-0","","200","180","1","CORN CROP","Left","200","160","4","THISTLE WEED","experimental","3","1,2,3,4","180,170,201.41598635320713,229.62324700751702","1,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","160,169.60621026778142,192.1880523054332,195.8799251582567","4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","0,0,1,1","4607,2965,1293,1394","9.871682324623166,31.41598635320714,28.207260654309877,-6.047591571076229","9.606210267781423,22.581842037651764,3.6918728528235105,9.649010011770798","0","0"
"520","86","text","0","33","415371","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","34","423666","0-0","","200","120","2","WHEAT CROP","Left","200","120","2","NETTLE WEED","experimental","4","1,2","120,158.78232071040307","2,1","WHEAT CROP,WHEAT CROP","120,99.0483710398157","2,1","NETTLE WEED,NETTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","0,0","2419,910","38.78232071040307,49.76349834335153","-20.951628960184294,44.69048349413896","0","0"
"599","86","text","0","35","424445","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","36","435083","0-0","","200","120","1","WHEAT CROP","Left","200","160","1","NETTLE WEED","experimental","5","1","120","1","WHEAT CROP","160","1","NETTLE WEED","20","20","10","20","0","20","20","20","10","20","0","20","1","6227","-15.79565878238135","-21.420205318408247","0","0"
"706","86","text","0","37","435949","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","38","451484","0-0","","200","180","1","CORN CROP","Left","200","160","8","THISTLE WEED","experimental","6","1,2,3,4,5,6,7,8","180,130,161.85644681481705,158.83501576103495,157.92009734054386,171.94862375711193,194.06675161705502,181.1407293890229","1,7,6,5,4,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","160,201.13551085235704,209.67191851892247,238.81233874215866,253.26734294874254,277.1140852310197,285.95853908541693,275.4825848010393","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","4002,2054,393,341,234,182,220,477","7.2832502582062215,31.85644681481704,-3.021431053782088,-0.9149184204910839,14.02852641656806,22.118127859943087,-12.926022228032096,-23.700972045222322","41.13551085235705,8.536407666565413,29.14042022323619,14.455004206583872,23.84674228227719,8.844453854397191,-10.475954284377632,10.75466039542491","0","0"
"494","86","text","0","39","452158","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","40","464045","0-0","","200","190","1","WHEAT CROP","Right","200","120","2","THISTLE WEED","experimental","7","1,2","120,137.52862345320708","2,1","THISTLE WEED,THISTLE WEED","190,190","1,1","WHEAT CROP,CORN CROP","0,0","20,20","10,10","20,20","20,20","20,20","0,0","20,20","10,10","20,20","20,20","20,20","1,1","3563,1542","17.528623453207068,59.66889861914702","31.938123898570225,23.268252370880536","0","0"
"554","86","text","0","41","464716","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","42","478859","0-0","","200","160","1","WHEAT CROP","Left","200","190","4","NETTLE WEED","experimental","8","1,2,3,4","160,170,201.83744148447562,179.0328240783279","1,3,2,1","WHEAT CROP,CORN CROP,CORN CROP,CORN CROP","190,193.49880694793896,195.3532723139986,228.81074643090307","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,1,1,1","5035,936,1101,576","-14.670241649073063,31.837441484475608,-22.804617406147717,27.732741346624653","3.498806947938959,1.8544653660596144,33.45747411690447,12.618102093493487","0","0"
"481","86","text","0","43","479493","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","44","489012","0-0","","200","120","8","WHEAT CROP","Left","200","180","8","THISTLE WEED","experimental","9","1,2,3,4,5,6,7,8","120,152.55270673933444,185.3595461486984,159.44475739086897,167.36822422706234,171.90999386696495,181.5813294954153,165.6896739455516","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","180,146.8967308838659,166.68069466873328,208.1053043112423,212.51118399352546,212.35490320221643,233.1040866267736,253.10261623479474","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,1,1,1,1,1,1,1","2323,943,754,529,376,118,99,89","32.552706739334425,32.80683940936395,-25.914788757829427,7.923466836193381,4.541769639902608,9.67133562845036,-15.891655549863703,-6.147174710121802","-33.10326911613411,19.783963784867396,41.42460964250901,4.4058796822831745,-0.1562807913090417,20.749183424557167,19.998529608021123,15.272462506592511","0","0"
"542","86","text","0","45","489694","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","46","513574","0-0","","200","190","8","CORN CROP","Right","200","160","2","NETTLE WEED","experimental","10","1,2,3,4,5,6,7,8","160,157.24468920697356,140,123.03716717371401,144.04516476780674,181.54111655712632,179.86856936219783,153.33530404182432","2,1,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","190,197.06770519399177,248.26527123372136,269.12825607487554,281.1658056072741,252.23604672159456,220.33996618502354,208.73070685577474","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,1,0,0,0,0,0,0","8968,1542,2297,1114,667,1386,955,500","-2.755310793026446,31.3320538536389,-16.962832826285997,21.00799759409273,37.49595178931957,-1.6725471949284842,-26.533265320373516,-5.906943441434382","7.067705193991783,51.197566039729594,20.862984841154194,12.037549532398558,-28.92975888567952,-31.896080536571016,-11.609259329248797,-1.171395554244796","0","0"
"471","86","text","0","47","514125","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","48","529075","0-0","","200","180","8","WHEAT CROP","Right","200","180","8","THISTLE WEED","experimental","11","1,2,3,4,5,6,7,8","180,168.59874902492012,138.6302656251626,153.85629784241556,162.04648500708248,152.6948456128397,158.2895111770378,179.9495701726346","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","180,164.30101637504103,156.9789369576043,186.27761079894725,221.2302526044848,219.0824935249479,180.65484991903867,216.33778944492627","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,1,0,0,1,0","5922,988,441,555,720,378,472,886","-11.401250975079888,-29.968483399757524,15.226032217252962,8.190187164666929,-9.351639394242762,5.594665564198103,21.6600589955968,9.04173313906725","-15.69898362495897,-7.322079417436736,29.298673841342932,34.95264180553755,-2.147759079536899,-38.42764360590924,35.68293952588762,-36.868779671169676","0","0"
"416","86","text","0","49","529621","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","50","541778","0-0","","200","180","1","WHEAT CROP","Right","200","120","4","THISTLE WEED","experimental","12","1,2,3,4","120,162.90116008501928,208.34599114049504,206.0095118513128","4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","180,170,196.98070775573544,196.24781571564193","1,3,2,1","WHEAT CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","1,1,0,0","3468,688,619,2149","42.90116008501928,45.44483105547576,-2.336479289182261,-4.152833410810929","19.493492550055528,26.980707755735434,-0.7328920400935114,49.21279996014657","0","0"
"512","86","text","0","51","542450","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","52","556072","0-0","","200","120","8","WHEAT CROP","Left","200","180","4","NETTLE WEED","experimental","13","1,2,3,4,5,6,7,8","120,109.75271350468569,94.43101054998469,102.85601728405969,161.21028787418862,163.70174808897866,150.1741576301631,184.28242196606692","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","180,153.15399774354265,151.47624252632002,177.27943775860138,160,193.22408860655668,192.46043626871779,206.7402565394333","4,3,2,1,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,1,0,1,0,1,0,0","1625,423,3420,634,448,770,439,608","-10.247286495314311,-15.321702954700992,8.425006734075001,58.35427059012895,2.491460214790031,-13.527590458815567,34.108264335903804,42.67203621977605","-26.84600225645736,-1.6777552172226187,25.803195232281343,-1.2201270358780887,33.22408860655669,-0.7636523378389026,14.279820270715508,16.244945965856438","0","0"
"644","86","text","0","53","556876","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","54","568041","0-0","","200","190","4","CORN CROP","Right","200","190","1","THISTLE WEED","experimental","14","1,2,3,4","190,170,196.00325778427526,216.69217395099687","1,3,2,1","THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","190,233.4202343307561,219.56426429916837,205.30831960445667","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","1,0,0,0","1453,2732,903,532","7.955672585375442,26.003257784275277,20.68891616672161,18.50311137191818","43.42023433075612,-13.855970031587733,-14.255944694711696,-22.327071854796138","0","0"
"499","86","text","0","55","568660","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
