"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","responses","experimental_goal_height","experimental_start_height","experimental_weeks_total","experimental_crop_type","experimental_crop_side","fixed_goal_height","fixed_start_height","fixed_weeks_total","fixed_crop_type","trial_kind","trial_number","stage","left_current_height","left_weeks_remaining","left_crop_type","right_current_height","right_weeks_remaining","right_crop_type","mean_left_growth_given_left","sd_left_growth_given_left","mean_left_growth_given_middle","sd_left_growth_given_middle","mean_left_growth_given_right","sd_left_growth_given_right","mean_right_growth_given_left","sd_right_growth_given_left","mean_right_growth_given_middle","sd_right_growth_given_middle","mean_right_growth_given_right","sd_right_growth_given_right","response","response_time","left_growth","right_growth","other_key_pressed","mouse_clicked"
"","","plant-game","0","23","286372","0-0","","200","120","8","WHEAT CROP","Right","200","160","4","THISTLE WEED","practice","11","1,2,3,4,5,6,7,8","160,162.848842144227,164.51456807155452,193.94518680154562,160,129.1883357583017,138.8150088846602,144.379473486655","4,3,2,1,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","120,129.56124017276449,107.1211390027799,161.68561201805025,128.50412240822436,142.37526224791088,169.6415042133743,174.29576608513688","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,1,0,1","882,1260,1931,1584,2533,1747,2367,1009","2.8488421442270067,1.6657259273275107,29.430618729991103,0.3138292282844665,-30.8116642416983,9.626673126358508,5.564464601994824,8.22491365785707","9.561240172764483,-22.44010116998458,54.564473015270345,-33.1814896098259,13.871139839686531,27.266241965463422,4.654261871762565,44.751264460816444","0","0"
"480","86","text","0","24","286993","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","25","309768","0-0","","200","180","2","CORN CROP","Left","200","160","4","NETTLE WEED","practice","12","1,2,3,4","180,183.2326147446784,180,180.61389240098214","2,1,2,1","CORN CROP,CORN CROP,WHEAT CROP,WHEAT CROP","160,155.3648722451678,204.39116868222487,184.70367812063103","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,0,1,0","3411,1660,3397,2658","3.23261474467838,2.307577664251937,0.6138924009821447,17.64937119946169","-4.635127754832213,49.02629643705709,-19.68749056159386,1.5491201977563165","0","0"
"823","86","text","0","26","310711","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11239","86","text","0","27","323132","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","28","345503","0-0","","200","160","2","WHEAT CROP","Left","200","120","1","NETTLE WEED","experimental","1","1,2","160,156.51808064407467","2,1","WHEAT CROP,WHEAT CROP","120,190","1,1","NETTLE WEED,THISTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","1,1","3841,6805","-3.4819193559253243,-21.712784455367803","-24.079223946970462,-10.643823617961406","0","0"
"495","86","text","0","29","346170","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","30","361637","0-0","","200","180","4","WHEAT CROP","Left","200","120","2","THISTLE WEED","experimental","2","1,2,3,4","180,187.54359385402023,184.97425775323543,190.1536778272115","4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","120,115.97770763415903,180,175.21555104207337","2,1,2,1","THISTLE WEED,THISTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,0,1,1","1928,1902,2578,1012","7.543593854020244,-2.569336100784785,5.179420073976065,-0.7144775320585973","-4.022292365840968,19.20059312903865,-4.784448957926616,24.711582684958785","0","0"
"616","86","text","0","31","362425","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","32","378494","0-0","","200","160","1","WHEAT CROP","Right","200","190","2","THISTLE WEED","experimental","3","1,2","190,196.21433029731537","2,1","THISTLE WEED,THISTLE WEED","160,190","1,1","WHEAT CROP,CORN CROP","0,0","20,20","10,10","20,20","20,20","20,20","0,0","20,20","10,10","20,20","20,20","20,20","1,1","891,4597","6.214330297315376,8.51032993585849","37.60095053438249,34.35025145540262","0","0"
"876","86","text","0","33","379550","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","34","409735","0-0","","200","160","8","CORN CROP","Left","200","190","2","THISTLE WEED","experimental","4","1,2,3,4,5,6,7,8","160,206.91497102019142,218.80728317912957,244.59559706748814,251.15817405050433,261.9612981114257,261.36918053323325,252.87907714768357","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","190,205.57855047153544,140,150.0232993576761,123.07753128317772,105.4486260126926,123.25960346470112,125.94387985017548","2,1,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,1,1,1,1,1,1,1","4591,1423,4634,1752,6299,1855,1171,774","46.91497102019141,11.892312158938168,25.788313888358573,6.562576983016198,10.803124060921368,-0.5921175781924635,-8.49010338554966,-12.09962305389893","15.578550471535449,-17.11027338375981,10.023299357676112,-26.945768074498385,-17.62890527048512,17.810977452008515,2.6842763854743588,6.869162639101592","0","0"
"452","86","text","0","35","410358","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","36","422502","0-0","","200","180","2","WHEAT CROP","Left","200","190","1","THISTLE WEED","experimental","5","1,2","180,154.40912417464304","2,1","WHEAT CROP,WHEAT CROP","190,190","1,1","THISTLE WEED,NETTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","1,0","3443,2948","-25.590875825356964,28.36392367462897","10.900678469942042,10.074474554967432","0","0"
"469","86","text","0","37","423131","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","38","438489","0-0","","200","180","1","WHEAT CROP","Left","200","190","8","NETTLE WEED","experimental","6","1,2,3,4,5,6,7,8","180,130,124.29829341803148,95.33816696982709,84.45754146350272,98.40865478699894,93.51863831313503,153.68199773746636","1,7,6,5,4,3,2,1","WHEAT CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","190,162.38194097440064,145.34447950159014,118.09020198662675,139.2203904387023,128.72484668739213,123.21964473413578,179.2738753809395","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,1,1,0,1,1,0,1","1610,2848,558,404,542,370,897,729","27.0088988052034,-5.7017065819685255,-28.960126448204385,-10.880625506324368,13.951113323496214,-4.890016473863909,60.16335942433133,8.072522054377885","-27.618059025599354,-17.03746147281049,-27.254277514963388,21.130188452075565,-10.49554375131019,-5.505201953256343,56.054230646803724,14.029610228736406","0","0"
"374","86","text","0","39","439003","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","40","463825","0-0","","200","180","1","CORN CROP","Right","200","120","8","THISTLE WEED","experimental","7","1,2,3,4,5,6,7,8","120,127.73896156222408,136.0307620355561,152.89729285851175,133.80713291821792,140.74688420154155,179.0266187538195,187.04164125704335","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","180,130,129.11991999647552,146.16179993227257,152.78301678559973,178.73013157149006,182.940153136796,188.51548619791495","1,7,6,5,4,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,1,0,0,1,1,0,1","3007,5517,695,1318,1301,1022,659,739","7.738961562224072,8.291800473332032,16.866530822955635,-19.090159940293823,6.939751283323632,38.27973455227796,8.015022503223872,-4.055990983463751","-36.85474428791749,-0.8800800035244833,17.041879935797056,6.621216853327142,25.947114785890335,4.210021565305947,5.5753330611189424,56.499292879037135","0","0"
"534","86","text","0","41","464482","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","42","474806","0-0","","200","180","1","CORN CROP","Right","200","120","2","NETTLE WEED","experimental","8","1,2","120,161.35341068391773","2,1","NETTLE WEED,NETTLE WEED","180,190","1,1","CORN CROP,WHEAT CROP","0,0","20,20","10,10","20,20","20,20","20,20","0,0","20,20","10,10","20,20","20,20","20,20","1,1","2291,1633","41.353410683917716,43.65465871590165","14.655137827580695,16.652693437933795","0","0"
"506","86","text","0","43","475482","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","44","480595","0-0","","200","190","1","WHEAT CROP","Left","200","160","1","THISTLE WEED","experimental","9","1","190","1","WHEAT CROP","160","1","THISTLE WEED","20","20","10","20","0","20","20","20","10","20","0","20","1","1591","-7.214706537571187","-2.4417850310693723","0","0"
"350","86","text","0","45","481115","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","46","495146","0-0","","200","190","2","CORN CROP","Right","200","190","1","NETTLE WEED","experimental","10","1,2","190,190","1,1","NETTLE WEED,THISTLE WEED","190,192.88991588651427","2,1","CORN CROP,CORN CROP","0,0","20,20","10,10","20,20","20,20","20,20","0,0","20,20","10,10","20,20","20,20","20,20","0,1","4967,1756","-27.32381583239186,48.615000468373026","2.889915886514286,17.80862891452489","0","0"
"413","86","text","0","47","495684","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","48","526756","0-0","","200","190","2","WHEAT CROP","Left","200","120","8","THISTLE WEED","experimental","11","1,2,3,4,5,6,7,8","190,224.80876837111472,140,155.69461151757616,169.66661014792805,200.2963387555117,197.47678615663034,181.1717769574871","2,1,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","120,112.86770700107496,88.09200148725095,53.29879663085252,44.199487000370894,49.17779997865727,60.78496771228116,69.44632154265128","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,1,1,0,1,0,1,1","3459,4411,7110,1335,580,1271,540,2064","34.80876837111473,26.309052784322983,15.694611517576169,13.97199863035189,30.629728607583644,-2.8195525988813657,-16.305009199143225,37.30010635012998","-7.13229299892504,-24.775705513824008,-34.79320485639843,-9.099309630481631,4.978312978286378,11.607167733623893,8.661353830370114,13.834830340996877","0","0"
"454","86","text","0","49","527270","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","50","535300","0-0","","200","180","1","CORN CROP","Right","200","160","1","NETTLE WEED","experimental","12","1","160","1","NETTLE WEED","180","1","CORN CROP","0","20","10","20","20","20","0","20","10","20","20","20","1","4855","40.678376391848204","42.285759811781844","0","0"
"399","86","text","0","51","535829","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","52","543059","0-0","","200","190","1","CORN CROP","Right","200","190","1","THISTLE WEED","experimental","13","1","190","1","THISTLE WEED","190","1","CORN CROP","0","20","10","20","20","20","0","20","10","20","20","20","0","2975","32.258535025670106","-20.39330564336882","0","0"
"424","86","text","0","53","543668","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","54","567677","0-0","","200","180","1","WHEAT CROP","Right","200","180","8","NETTLE WEED","experimental","14","1,2,3,4,5,6,7,8","180,183.440498886907,163.84717460212536,190.53700411122117,169.46397455816776,184.8004123832054,236.62398430781298,244.9480911703371","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","180,130,120.80631628909457,86.3380058731056,107.26489418139657,124.29242817304205,161.682030154898,185.08885640887308","1,7,6,5,4,3,2,1","WHEAT CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,1,1,0","7796,2803,689,743,1912,604,649,377","3.4404988869070054,-19.59332428478164,26.689829509095816,-21.073029553053388,15.336437825037649,51.823571924607556,8.324106862524124,-1.4803755939008152","-3.570966955598451,-9.193683710905434,-34.46831041598897,20.926888308290973,17.027533991645477,37.389601981855954,23.406826253975094,-16.29130375711889","0","0"
"450","86","text","0","55","568287","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","56","580327","0-0","","200","120","1","CORN CROP","Left","200","160","2","NETTLE WEED","experimental","15","1,2","120,190","1,1","CORN CROP,WHEAT CROP","160,133.44207514938017","2,1","NETTLE WEED,NETTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","1,0","1172,3097","-8.993267391395554,56.782529813683524","-26.557924850619834,58.857811151848594","0","0"
"610","86","text","0","57","581067","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
