"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","responses","experimental_goal_height","experimental_start_height","experimental_weeks_total","experimental_crop_type","experimental_crop_side","fixed_goal_height","fixed_start_height","fixed_weeks_total","fixed_crop_type","trial_kind","trial_number","stage","left_current_height","left_weeks_remaining","left_crop_type","right_current_height","right_weeks_remaining","right_crop_type","mean_left_growth_given_left","sd_left_growth_given_left","mean_left_growth_given_middle","sd_left_growth_given_middle","mean_left_growth_given_right","sd_left_growth_given_right","mean_right_growth_given_left","sd_right_growth_given_left","mean_right_growth_given_middle","sd_right_growth_given_middle","mean_right_growth_given_right","sd_right_growth_given_right","response","response_time","left_growth","right_growth","other_key_pressed","mouse_clicked"
"2839727","87","text","0","0","2839870","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3559","","survey-text","0","1","2844436","0-0","{""Q0"":""18""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5794","86","text","0","2","5981","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","3","56032","0-0","","200","120","8","WHEAT CROP","Right","200","120","8","NETTLE WEED","practice","1","1,2,3,4,5,6,7,8","120,103.02758898567026,105.88216283572974,63.098621359325605,83.16295824188917,83.79715571966311,102.23308711461567,129.78350149683763","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","120,122.80406197994876,160.22801916917433,167.06196010148295,163.06570658990782,149.73849702597002,163.50953851104367,188.19794933140903","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,1,1,1","14064,3948,1954,1605,1972,1479,2460,576","-16.97241101432973,2.8545738500594786,-42.78354147640414,20.064336882563563,0.6341974777739379,18.435931394952558,27.550414382221945,19.944826711041912","2.804061979948754,37.423957189225575,6.833940932308612,-3.9962535115751234,-13.327209563937796,13.771041485073654,24.688410820365355,22.601750630946665","0","2"
"686","86","text","0","4","56858","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","5","73296","0-0","","200","160","4","WHEAT CROP","Right","200","160","4","NETTLE WEED","practice","2","1,2,3,4","160,164.36601794475968,147.80472096762472,146.8211955571351","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","160,144.96301344177104,141.23183772362836,144.5522580278051","4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","1,0,0,0","2019,592,729,404","4.366017944759681,-16.56129697713495,-0.9835254104896184,-15.742099513944648","-15.03698655822896,-3.731175718142672,3.3204203041767477,-35.22932487657094","0","0"
"502","86","text","0","6","74001","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","7","88395","0-0","","200","180","2","CORN CROP","Left","200","180","2","NETTLE WEED","practice","3","1,2","180,183.79436141737386","2,1","CORN CROP,CORN CROP","180,189.2726199092722","2,1","NETTLE WEED,NETTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","1,1","3314,2175","3.794361417373877,20.63963178103958","9.272619909272201,19.697835608173314","0","0"
"1040","86","text","0","8","89595","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","9","98175","0-0","","200","190","1","WHEAT CROP","Left","200","190","1","NETTLE WEED","practice","4","1","190","1","WHEAT CROP","190","1","NETTLE WEED","20","20","10","20","0","20","20","20","10","20","0","20","0","2193","26.34266343962898","44.42169315397335","0","0"
"520","86","text","0","10","98835","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","11","116945","0-0","","200","120","8","WHEAT CROP","Right","200","160","8","THISTLE WEED","practice","5","1,2,3,4,5,6,7,8","160,164.31748251256454,182.45869366597094,200.9352951130639,243.58253212886186,281.4739466384647,299.91499719629195,324.1152335393958","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","120,105.52216487458111,67.89242995573744,117.69802192958451,153.59198723707212,193.19720267411273,224.74820449983403,237.1090530391976","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,1,1,1,1,1,1","1875,2580,700,873,340,514,743,390","4.317482512564553,18.14121115340641,18.47660144709296,42.64723701579798,37.89141450960287,18.441050557827204,24.200236343103843,-1.2698353416133514","-14.477835125418896,-37.629734918843674,49.80559197384707,35.89396530748761,39.60521543704062,31.551001825721308,12.360848539363545,-17.325738396101272","0","0"
"210","86","text","0","12","117245","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","13","142515","0-0","","200","180","4","CORN CROP","Left","200","160","4","NETTLE WEED","practice","6","1,2,3,4","180,203.81474564773777,212.2412884517094,262.06022128499194","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","160,158.92217038283817,207.14067185641818,237.41410561264072","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,0,0,1","4066,2227,3120,3141","23.81474564773778,8.426542803971639,49.81893283328255,-25.70989757670324","-1.0778296171618182,48.21850147358001,30.273433756222552,-19.450920395717585","0","0"
"416","86","text","0","14","143061","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","15","157159","0-0","","200","180","2","CORN CROP","Right","200","190","2","THISTLE WEED","practice","7","1,2","190,221.7825626758241","2,1","THISTLE WEED,THISTLE WEED","180,187.81474827061217","2,1","CORN CROP,CORN CROP","0,0","20,20","10,10","20,20","20,20","20,20","0,0","20,20","10,10","20,20","20,20","20,20","0,0","3889,1397","31.78256267582409,29.077931394575998","7.814748270612157,-17.03246757068304","0","0"
"413","86","text","0","16","157782","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","17","201511","0-0","","200","120","4","CORN CROP","Left","200","120","8","NETTLE WEED","practice","8","1,2,3,4,5,6,7,8","120,115.34247195191625,122.74601113862184,128.92942797583322,160,157.45158782268533,171.97096024454723,140.79263191708844","4,3,2,1,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","120,128.12551404379946,109.194245070145,94.50222916845689,136.7730991677706,121.25789185431113,142.2547132935699,153.50971258273597","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,1,0,0,1,0,1,1","5786,2498,2468,1622,2781,1768,1698,1400","-4.657528048083743,7.4035391867055855,6.183416837211395,28.07517265126734,-2.548412177314678,14.51937242186189,-31.178328327458793,19.609799080288106","8.125514043799466,-18.93126897365445,-14.692015901688102,42.27086999931371,-15.515207313459465,20.996821439258767,11.254999289166076,44.55278404353549","0","0"
"484","86","text","0","18","202213","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","19","235144","0-0","","200","160","4","WHEAT CROP","Right","200","160","2","NETTLE WEED","practice","9","1,2,3,4","160,155.98977741549777,180,236.57711601295594","2,1,2,1","NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED","160,152.45323892886404,163.63153963683428,177.23744025729792","4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,1,0","564,2302,1817,2461","-4.010222584502219,33.736568352808945,56.57711601295593,47.20861896715789","-7.546761071135952,11.178300707970237,13.60590062046365,1.6550098042461803","0","0"
"880","86","text","0","20","236214","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","21","257308","0-0","","200","180","2","WHEAT CROP","Left","200","180","1","THISTLE WEED","practice","10","1,2","180,185.86870661817156","2,1","WHEAT CROP,WHEAT CROP","180,190","1,1","THISTLE WEED,NETTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","1,0","3599,872","5.868706618171547,-4.4267984252187205","-23.6162428321348,18.78363772804518","0","0"
"482","86","text","0","22","257987","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
